"yr","ppp"
1990,0.00002391171077668080000000000
1991,0.00012222186120645200000000000
1992,0.00124755803773427000000000000
1993,0.02457490425892850000000000000
1994,0.52113392897271900000000000000
1995,0.84151533141733300000000000000
1996,0.94637634872844200000000000000
1997,0.98880081325782800000000000000
1998,1.00483073836183000000000000000
1999,1.03108466355085000000000000000
2000,1.06766788935925000000000000000
2001,1.10932187814665000000000000000
2002,1.18427898582250000000000000000
2003,1.32839369869968000000000000000
2004,1.37913339211927000000000000000
2005,1.42548036327609000000000000000
2006,1.43870605461971000000000000000
2007,1.44967764058661000000000000000
2008,1.47511113629775000000000000000
2009,1.55273577603769000000000000000
2010,1.60465682230060000000000000000
2011,1.65878263608021000000000000000
2012,1.71296874095529000000000000000
2013,1.79298287763382000000000000000
2014,1.87603010198804000000000000000
2015,2.04300844055255000000000000000
2016,2.19387204803144000000000000000

